Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,ax,ay,az,PAD,Packet (hex)
676,OK,2927853683,43690,170,5,3,127,4096,83434023745,8181295573,2927853683,3435973836,8,0,20,4096,0800000014000010aaaaaa05037f0010412b0e6d13000000d5a9a4e701000000738083aecccccccc
682,OK,2502638969,43690,170,5,3,127,4096,83435024914,8182296742,2502638969,3435973836,-2,4,14,4096,feff04000e000010aaaaaa05037f001012721d6d13000000a6f0b3e701000000793d2b95cccccccc
688,OK,3117013596,43690,170,5,3,127,4096,83436026763,8183298591,3117013596,3435973836,4,0,18,4096,0400000012000010aaaaaa05037f00108bbb2c6d130000001f3ac3e7010000005cdac9b9cccccccc
694,OK,3132070443,43690,170,5,3,127,4096,83437026887,8184298715,3132070443,3435973836,6,0,20,4096,0600000014000010aaaaaa05037f001047fe3b6d13000000db7cd2e7010000002b9aafbacccccccc
700,OK,1403026146,43690,170,5,3,127,4096,83438027916,8185299744,1403026146,3435973836,4,0,20,4096,0400000014000010aaaaaa05037f00108c444b6d1300000020c3e1e701000000e27aa053cccccccc
706,OK,3364651582,43690,170,5,3,127,4096,83439028755,8186300583,3364651582,3435973836,-2,2,14,4096,feff02000e000010aaaaaa05037f0010138a5a6d13000000a708f1e7010000003e828cc8cccccccc
712,OK,4017538810,43690,170,5,3,127,4096,83440030925,8187302753,4017538810,3435973836,2,0,16,4096,0200000010000010aaaaaa05037f0010cdd4696d13000000615300e801000000fac676efcccccccc
718,OK,88633094,43690,170,5,3,127,4096,83441030919,8188302747,88633094,3435973836,4,-4,16,4096,0400fcff10000010aaaaaa05037f00100717796d130000009b950fe801000000066f4805cccccccc
724,OK,559519691,43690,170,5,3,127,4096,83442031749,8189303577,559519691,3435973836,2,2,22,4096,0200020016000010aaaaaa05037f0010855c886d1300000019db1ee801000000cb975921cccccccc
730,OK,4276992559,43690,170,5,3,127,4096,83443032745,8190304573,4276992559,3435973836,0,0,20,4096,0000000014000010aaaaaa05037f0010a9a2976d130000003d212ee8010000002fbaedfecccccccc
736,OK,3917915721,43690,170,5,3,127,4096,83444034933,8191306761,3917915721,3435973836,2,0,14,4096,020000000e000010aaaaaa05037f001075eda66d13000000096c3de80100000049a686e9cccccccc
742,OK,1999491933,43690,170,5,3,127,4096,83445034908,8192306736,1999491933,3435973836,2,2,20,4096,0200020014000010aaaaaa05037f00109c2fb66d1300000030ae4ce8010000005dd32d77cccccccc
748,OK,2579863052,43690,170,5,3,127,4096,83446035747,8193307575,2579863052,3435973836,0,4,16,4096,0000040010000010aaaaaa05037f00102375c56d13000000b7f35be8010000000c96c599cccccccc
