Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,latitude,longitude,height,northVel,eastVel,downVel,posAccuracy,year,month,day,hour,minute,second,numSatellites,fixQuality,PAD,PAD,PAD,
89822,OK,560532977,43690,170,12,5,0,0,67081686911,90080208,560532977,3435973836,35.3576422,-117.8025593,10929455,-11029,43851,50151,736,2021,4,10,18,5,54,24,3,0,0,0,
90148,OK,1444970520,43690,170,12,5,0,0,67082719501,91112798,1444970520,3435973836,35.357556,-117.8020702,10881884,-8450,45181,45544,747,2021,4,10,18,5,55,19,3,0,0,0,
90476,OK,976919224,43690,170,12,5,0,0,67083749554,92142851,976919224,3435973836,35.3574775,-117.801565,10836002,-9216,46993,47584,755,2021,4,10,18,5,56,20,3,0,0,0,
90804,OK,46045346,43690,170,12,5,0,0,67084778520,93171817,46045346,3435973836,35.3573989,-117.8010511,10788531,-8464,46744,47474,760,2021,4,10,18,5,57,24,3,0,0,0,
91126,OK,11352728,43690,170,12,5,0,0,67085807270,94200567,11352728,3435973836,35.3573351,-117.8005545,10742091,-6033,43815,46166,768,2021,4,10,18,5,58,24,3,0,0,0,
91449,OK,548035206,43690,170,12,5,0,0,67086834314,95227612,548035206,3435973836,35.3572866,-117.8000597,10693892,-4668,45873,49328,766,2021,4,10,18,5,59,26,3,0,0,0,
91775,OK,450893186,43690,170,12,5,0,0,67087864341,96257638,450893186,3435973836,35.3572489,-117.7995658,10645140,-3808,43569,47073,768,2021,4,10,18,6,0,23,3,0,0,0,
92099,OK,4136986578,43690,170,12,5,0,0,67088888600,97281897,4136986578,3435973836,35.3572072,-117.7990848,10598480,-5024,44758,46945,778,2021,4,10,18,6,1,21,3,0,0,0,
92421,OK,3724737772,43690,170,12,5,0,0,67089918371,98311669,3724737772,3435973836,35.3571566,-117.7986054,10551681,-6160,43156,49883,789,2021,4,10,18,6,2,22,3,0,0,0,
92743,OK,735941762,43690,170,12,5,0,0,67090947549,99340846,735941762,3435973836,35.3570855,-117.7981194,10505118,-9457,45439,44302,786,2021,4,10,18,6,3,26,3,0,0,0,
93064,OK,2902464278,43690,170,12,5,0,0,67091972638,100365935,2902464278,3435973836,35.3569992,-117.7976438,10459473,-9590,41204,47140,787,2021,4,10,18,6,4,27,3,0,0,0,
93389,OK,2758991103,43690,170,12,5,0,0,67093002326,101395623,2758991103,3435973836,35.3569358,-117.7972006,10412428,-4218,39218,46441,774,2021,4,10,18,6,5,26,3,0,0,0,
